title,titleVF,youtube_url,category_id
Now you see me,Inssaisissable,,films
The platform,La plateforme,https://www.youtube.com/watch?v=U3QOgQo2KZo,films
Mad max fury road,,,films
Talk to me,,,films
Avatar,,,films
Babylon,,,films
Don't look up,,https://www.youtube.com/watch?v=aE854zHWEHo,films
The batman,,https://www.youtube.com/watch?v=Cwcinb2OxUo,films
Druk,Drunk,https://www.youtube.com/watch?v=W5yUmmgYCa0,films
Joker,,https://www.youtube.com/watch?v=K61-tK7Xzg,films
Blade runner 2049,,https://www.youtube.com/watch?v=d3clrkLNTSA,films
Pirates of the Caribbean: The Curse of the Black Pearl,Pirates des Caraïbes : La Malédiction du Black Pearl,https://www.youtube.com/watch?v=rdB13lFexNk,films
Pirates of the Caribbean : Dead Man's Chest,irates des Caraïbes : Le Secret du coffre maudit,https://www.youtube.com/watch?v=3TOzkCIaXjI,films
The hatefull eight,les huits salopards,https://www.youtube.com/watch?v=7EbmNz0GC2A,films
The martian,Seul sur mars,,films
The imitation game,,https://www.youtube.com/watch?v=kr6WTOCbDTw,films
Whiplash,,https://www.youtube.com/watch?v=38CRu1rCaKg,films
The wolf of well street,Le loup de wallstreet,https://www.youtube.com/watch?v=s4rXEKtC8iY,films
Hunger games,,https://www.youtube.com/watch?v=F3hTW9e20d8,films
The great gatsby,gatsby le magnifique,https://www.youtube.com/watch?v=0ZgjmE6xdaw,films
Drive,,https://www.youtube.com/watch?v=MV_3Dpw-BRY,films
Alice in wonderland,Alice ua pays des merveilles,https://www.youtube.com/watch?v=yPjlCza7JHI,films
Night at the museum,Une nuit au musée,https://www.youtube.com/watch?v=Gj2F8qy3CIg,films
Shutter island,,https://www.youtube.com/watch?v=QGtN3lpI2f4,films
Inglorious basterds,,https://www.youtube.com/watch?v=6Dl_P5z5wbU,films
OSS 117,,https://www.youtube.com/watch?v=iolT-VbLimk,films
Watchmen,,https://www.youtube.com/watch?v=Ploj-2di-rE,films
Sunshine,,https://www.youtube.com/watch?v=-kSe5tTMOsE,films
Cars,,https://www.youtube.com/watch?v=SvqlV5_4AhA,films
Saw,,,films
Charlie and the chocolate factory,Charlie et la chocolaterie,Main Titles (Charlie and the Chocolate Factory) - YouTube,films
The Terminal,Le Terminal,https://www.youtube.com/watch?v=cVMaJNwpUS8,films
Catch me if you can,Arrête-moi si tu peux,,films
The day after tomorrow,Le jour d'après,https://www.youtube.com/watch?v=TbyGJJtmWN8,films
Kill Bill,,,films
The machinist,,https://www.youtube.com/watch?v=sxI0ul-bSUo,films
The pianist,Le pianiste,https://www.youtube.com/watch?v=9t9Vdw_fJnk,films
"Monstres, Inc",Monstres et Cie,https://www.youtube.com/watch?v=aMwSNDRP90o,films
Le Fabuleux Destin d'Amélie Poulain,,https://www.youtube.com/watch?v=znfYwABeSZ0,films
Requiem for a dream,,,films
Gladiator,,,films
The truman show,,,films
Scream,,https://www.youtube.com/watch?v=DdRgmUGHv3Q,films
Apollo 13,,https://www.youtube.com/watch?v=WTSmtKDvnWQ,films
Reservoir dogs,,https://www.youtube.com/watch?v=dBmZZVSLHvc,films
Batman 1989,,https://www.youtube.com/watch?v=kRZAk2rfESU,films
Child's play,,https://www.youtube.com/watch?v=oAeB7-cnvvM,films
A nightmare on elm street,Les Griffes de la nuit,https://www.youtube.com/watch?v=HZSnwJOQp0A,films
