title,titleVF,youtube_url,category_id
Jujutsu Kaisen,,,anime
Attack on Titan,L'Attaque des Titans,,anime
Frieren: Beyond Journey's End,Frieren,,anime
One Piece,,,anime
My Hero Academia,,,anime
Demon Slayer: Kimetsu no Yaiba,Poursuivant de l'ombre,,anime
Vinland Saga,,,anime
One Punch Man,,,anime
Chainsaw Man - The Movie: Reze Arc,,,anime
Death Note,,,anime
Fullmetal Alchemist: Brotherhood,,,anime
Hunter x Hunter,,,anime
JoJo's Bizarre Adventure,,,anime
Naruto: Shippuden,,,anime
Your Name.,,,anime
Bleach,,,anime
Monster,,,anime
Chainsaw Man,,,anime
Naruto,,,anime
Bleach: Thousand-Year Blood War,,,anime
Code Geass,,,anime
Cyberpunk: Edgerunners,,,anime
Re: Zero - Starting Life in Another World,,,anime
Berserk,,,anime
Spy x Family,,,anime
100 Meters,,,anime
Dandadan,,,anime
Perfect Blue,,,anime
Cowboy Bebop,,,anime
Takopi's Original Sin,Le Péché originel de Takopi,,anime
The Apothecary Diaries,Les Carnets de l'apothicaire,,anime
A Silent Voice: The Movie,Silent Voice,,anime
Dragon Ball Z,,,anime
Steins;Gate,,,anime
Cosmic Princess Kaguya!,,,anime
Gintama,,,anime
Pokémon,,,anime
Mushoku Tensei: Jobless Reincarnation,,,anime
Ghost in the Shell,,,anime
Tokyo Ghoul,,,anime
Paprika,,,anime
The Fragrant Flower Blooms with Dignity,,,anime
Dr. Stone,,,anime
Mob Psycho 100,,,anime
Jujutsu Kaisen 0,,,anime
The Wind Rises,Le vent se lève,,anime
Kiki's Delivery Service,Kiki la petite sorcière,,anime
Haikyu!!,,,anime
Kaguya-sama: Love is War,,,anime
Violet Evergarden,,,anime
Erased,,,anime
Sword Art Online,,,anime
Fullmetal Alchemist,,,anime
Nausicaä of the Valley of the Wind,Nausicaä de la vallée du vent,,anime
My Dress-Up Darling,Sexy Cosplay Doll,,anime
The Promised Neverland,,,anime
Parasyte: The Maxim,Parasite,,anime
That Time I Got Reincarnated as a Slime,Moi quand je me réincarne en Slime,,anime
Gurren Lagann,,,anime
The Seven Deadly Sins,,,anime
Demon Slayer: Mugen Train,,,anime
Attack on Titan: The Last Attack,,,anime
The Tale of The Princess Kaguya,Le Conte de la princesse Kaguya,,anime
I Want to Eat Your Pancreas,Je veux manger ton pancréas,,anime
Dororo,,,anime
Nana,,,anime
Classroom of the Elite,,,anime
Chained Soldier,,,anime
Devilman Crybaby,,,anime
Whisper of the Heart,Si tu tends l'oreille,,anime
Serial Experiments Lain,,,anime
Porco Rosso,,,anime
Legend of the Galactic Heroes,Les Héros de la Galaxie,,anime
Weathering with You,Les Enfants du Temps,,anime
Memories,,,anime
Angel's Egg,L'Oeuf de l'ange,,anime
5 Centimeters per Second,5 centimètres par seconde,,anime
Boruto: Naruto Next Generations,,,anime
High School DxD,,,anime
Fairy Tail,,,anime
The Animatrix,,,anime
Redline,,,anime
Vampire Hunter D: Bloodlust,,,anime
Mashle: Magic and Muscles,,,anime
Rascal Does Not Dream of Bunny Girl Senpai,,,anime
Hellsing Ultimate,,,anime
Fruits Basket,,,anime
The Rising of the Shield Hero,Shield Hero,,anime
The Cat Returns,Le Royaume des Chats,,anime
Elfen Lied,,,anime
Psycho-Pass,,,anime
Shiboyugi: Playing Death Games to Put Food on the Table,,,anime
Jin-Roh: The Wolf Brigade,Jin-Roh la brigade des loups,,anime
Only Yesterday,Souvenirs goutte à goutte,,anime
The Disastrous Life of Saiki K.,Saiki Kusuo,,anime
