title,titleVF,youtube_url,category_id
7 Days to Die,Main Menu,https://www.youtube.com/watch?v=MRRhaBWc1vE,games
A Plague Tale Requiem,Main Title,https://www.youtube.com/watch?v=ycxP8CKepJ8,games
Ace Attorney Apollo Justice,A New Trial is in Session (Objection 2007),https://www.youtube.com/watch?v=5kI6-rGRmSI,games
Ace Attorney Phoenix Wright,Objection! 2001,https://www.youtube.com/watch?v=ANcuqk7x33o,games
Advance Wars Dual Strike,Jake's Theme,https://www.youtube.com/watch?v=Uhj8UOJDWVY,games
Age of Empires 2,Main Theme,https://www.youtube.com/watch?v=0WGKC2J3g_Y,games
Age of Mythology,Chocolate Outline,https://www.youtube.com/watch?v=CtZzvHBKzw0,games
Age of War,Main Theme,https://www.youtube.com/watch?v=eYXJ8LhlHFU,games
Alan Wake 2,Chapter Songs,https://www.youtube.com/watch?v=IzTrJ3RxeNQ,games
Albion Online,Main Theme,https://www.youtube.com/watch?v=BT8113CQ0K0,games
Alice: Madness Returns,Main Theme,https://www.youtube.com/watch?v=lnszT-8DMbQ,games
Among Us,Main Theme,https://www.youtube.com/watch?v=o7oKN3IkO4M,games
Angry Birds,Main Theme,https://www.youtube.com/watch?v=clnb7jiIvQM,games
Animal Crossing New Horizons,Main Theme,https://www.youtube.com/watch?v=oZEHhHoT7C8,games
Animal Crossing New Leaf,Title Theme,https://www.youtube.com/watch?v=YdRj7VxbDHY,games
Another Code: R,Back in Time,https://www.youtube.com/watch?v=sEfpOT4FtWU,games
Another Code: Two Memories,Another Code,https://www.youtube.com/watch?v=PBlfhZsTQao,games
Apex Legends,Main Theme,https://www.youtube.com/watch?v=Xq0joZ24D9Y,games
ARK: Survival Evolved,Main Theme,https://www.youtube.com/watch?v=rYyi_vvH2F8,games
Art Academy,Menu,https://www.youtube.com/watch?v=0wYr0kDWVt4,games
Assassin's Creed 2,Ezio's Familly,https://www.youtube.com/watch?v=FSVHx23ByhM,games
Assassin's Creed 3,Main Theme,https://www.youtube.com/watch?v=EevWu6A1LPM,games
Assassin's Creed 4 : Black Flag,Main Theme,https://www.youtube.com/watch?v=UNREuwdJCw0,games
